img_path,prediction,output,embedding,fitness
visualization/mutag/population_sso/graph_0.png,1,"[0.00036374558112584054, 0.9996362924575806]","[0.0001, 0.0028, 0.0, 0.0, 0.0021, 0.0117, 0.0, 0.8926, 0.0119, 0.0068, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0028, 0.0, 0.0383, 0.0, 0.0009, 0.0293, 0.0, 0.0, 0.0001, 0.0003, 0.0, 0.0002, 0.0]",6.574899913402987e-08
visualization/mutag/population_sso/graph_1.png,1,"[0.00028756767278537154, 0.9997124075889587]","[0.0002, 0.0056, 0.0, 0.0, 0.0036, 0.0243, 0.0, 0.8024, 0.0128, 0.0077, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0035, 0.0, 0.0782, 0.0, 0.0016, 0.0586, 0.0, 0.0, 0.0002, 0.0007, 0.0, 0.0002, 0.0]",0.02325228415429592
visualization/mutag/population_sso/graph_2.png,1,"[0.0004785177588928491, 0.9995214939117432]","[0.0001, 0.0011, 0.0, 0.0, 0.0006, 0.0048, 0.0, 0.9681, 0.006, 0.0033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015, 0.0, 0.0084, 0.0, 0.0002, 0.0057, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0001, 0.0]",0.03357096388936043
visualization/mutag/population_sso/graph_3.png,1,"[0.00022920929768588394, 0.9997708201408386]","[0.0, 0.0005, 0.0, 0.0, 0.0007, 0.0019, 0.0, 0.9656, 0.0068, 0.0034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013, 0.0, 0.0107, 0.0, 0.0003, 0.0086, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0]",0.03453630208969116
visualization/mutag/population_sso/graph_4.png,1,"[0.00044273195089772344, 0.9995571970939636]","[0.0001, 0.0008, 0.0, 0.0, 0.0007, 0.0038, 0.0, 0.9621, 0.0046, 0.0042, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0021, 0.0, 0.011, 0.0, 0.0003, 0.0099, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0001, 0.0]",0.03536909818649292
visualization/mutag/population_sso/graph_5.png,1,"[0.00020615202083718032, 0.9997938275337219]","[0.0001, 0.0011, 0.0, 0.0, 0.0026, 0.0051, 0.0, 0.8594, 0.0107, 0.0054, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027, 0.0, 0.0615, 0.0, 0.0013, 0.0493, 0.0, 0.0, 0.0001, 0.0004, 0.0, 0.0001, 0.0]",0.0390622615814209
visualization/mutag/population_sso/graph_6.png,1,"[0.0004604764108080417, 0.9995394945144653]","[0.0001, 0.002, 0.0, 0.0, 0.0007, 0.0071, 0.0, 0.9596, 0.0078, 0.0047, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018, 0.0, 0.009, 0.0, 0.0003, 0.0066, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0002, 0.0]",0.04093112796545029
visualization/mutag/population_sso/graph_7.png,1,"[0.00048310498823411763, 0.9995168447494507]","[0.0001, 0.0009, 0.0, 0.0, 0.0003, 0.0036, 0.0, 0.9826, 0.0029, 0.0018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008, 0.0, 0.0041, 0.0, 0.0001, 0.0025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0]",0.04873457923531532
visualization/mutag/population_sso/graph_8.png,1,"[0.000149208921357058, 0.9998507499694824]","[0.0, 0.0005, 0.0, 0.0, 0.0013, 0.0021, 0.0, 0.923, 0.0081, 0.0041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0019, 0.0, 0.0325, 0.0, 0.0006, 0.0254, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0]",0.050947654992341995
visualization/mutag/population_sso/graph_9.png,1,"[0.000718519848305732, 0.9992814660072327]","[0.0001, 0.0025, 0.0, 0.0, 0.0005, 0.0095, 0.0, 0.9657, 0.0063, 0.0038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017, 0.0, 0.0057, 0.0, 0.0002, 0.0036, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0002, 0.0]",0.057769764214754105
